2026-08-30T02:23:22Z 96, 2398, [N/A], 29.38, 66 | 111962 830
2026-08-30T02:23:27Z 96, 2398, [N/A], 29.10, 65 | 111989 830
2026-08-30T02:23:32Z 96, 2392, [N/A], 53.00, 69 | 111972 830
2026-08-30T02:23:37Z 96, 2392, [N/A], 54.93, 67 | 111974 830
2026-08-30T02:23:42Z 96, 2392, [N/A], 52.56, 68 | 111953 830
2026-08-30T02:23:47Z 96, 2398, [N/A], 30.38, 66 | 111951 830
2026-08-30T02:23:52Z 96, 2398, [N/A], 29.80, 65 | 111978 830
2026-08-30T02:23:57Z 96, 2392, [N/A], 49.96, 68 | 111977 830
2026-08-30T02:24:02Z 96, 2392, [N/A], 54.43, 70 | 111964 830
2026-08-30T02:24:07Z 96, 2392, [N/A], 55.47, 70 | 111954 830
2026-08-30T02:24:13Z 96, 2392, [N/A], 55.49, 71 | 111942 830
2026-08-30T02:24:18Z 96, 2398, [N/A], 30.78, 67 | 111931 830
2026-08-30T02:24:23Z 96, 2398, [N/A], 30.61, 66 | 111951 830
2026-08-30T02:24:28Z 96, 2392, [N/A], 51.55, 70 | 111958 830
2026-08-30T02:24:33Z 96, 2392, [N/A], 54.95, 71 | 111990 830
2026-08-30T02:24:38Z 96, 2392, [N/A], 55.49, 71 | 111966 830
2026-08-30T02:24:43Z 96, 2398, [N/A], 30.66, 67 | 111966 830
2026-08-30T02:24:48Z 96, 2398, [N/A], 29.86, 66 | 111963 830
2026-08-30T02:24:53Z 96, 2392, [N/A], 51.57, 70 | 111960 830
2026-08-30T02:24:58Z 96, 2398, [N/A], 55.34, 71 | 111963 830
2026-08-30T02:25:03Z 96, 2398, [N/A], 55.79, 70 | 111967 830
2026-08-30T02:25:09Z 96, 2398, [N/A], 55.85, 71 | 111976 830
2026-08-30T02:25:14Z 96, 2398, [N/A], 30.96, 68 | 111965 830
2026-08-30T02:25:19Z 96, 2398, [N/A], 29.77, 67 | 111969 830
2026-08-30T02:25:24Z 96, 2398, [N/A], 51.61, 72 | 111976 830
2026-08-30T02:25:29Z 96, 2398, [N/A], 55.55, 71 | 111976 830
2026-08-30T02:25:34Z 96, 2398, [N/A], 47.49, 72 | 111948 830
2026-08-30T02:25:39Z 96, 2398, [N/A], 30.78, 68 | 111921 830
2026-08-30T02:25:44Z 96, 2398, [N/A], 51.39, 70 | 111932 830
2026-08-30T02:25:49Z 96, 2398, [N/A], 52.62, 72 | 111953 830
2026-08-30T02:25:54Z 96, 2398, [N/A], 48.24, 71 | 111981 830
2026-08-30T02:25:59Z 96, 2398, [N/A], 57.18, 74 | 111973 830
2026-08-30T02:26:05Z 96, 2398, [N/A], 49.42, 73 | 111953 830
2026-08-30T02:26:10Z 96, 2398, [N/A], 31.13, 69 | 111954 830
2026-08-30T02:26:15Z 96, 2398, [N/A], 19.02, 66 | 111961 830
2026-08-30T02:26:20Z 96, 2405, [N/A], 54.79, 72 | 111949 830
2026-08-30T02:26:25Z 96, 2398, [N/A], 54.67, 73 | 111970 830
2026-08-30T02:26:30Z 96, 2398, [N/A], 54.77, 72 | 111969 830
2026-08-30T02:26:35Z 96, 2398, [N/A], 54.31, 74 | 111948 830
2026-08-30T02:26:40Z 96, 2398, [N/A], 54.30, 73 | 111976 830
2026-08-30T02:26:45Z 96, 2398, [N/A], 45.30, 71 | 111993 830
2026-08-30T02:26:50Z 96, 2398, [N/A], 35.67, 70 | 111992 830
2026-08-30T02:26:55Z 96, 2398, [N/A], 32.35, 69 | 111974 830
2026-08-30T02:27:00Z 96, 2398, [N/A], 56.85, 72 | 111982 830
2026-08-30T02:27:06Z 96, 2398, [N/A], 55.84, 72 | 111959 830
2026-08-30T02:27:11Z 96, 2398, [N/A], 55.47, 73 | 111963 830
2026-08-30T02:27:16Z 96, 2398, [N/A], 56.88, 73 | 111965 830
2026-08-30T02:27:21Z 96, 2392, [N/A], 57.58, 74 | 111950 830
2026-08-30T02:27:26Z 96, 2398, [N/A], 57.09, 75 | 111947 830
2026-08-30T02:27:31Z 96, 2405, [N/A], 49.17, 73 | 111952 830
2026-08-30T02:27:36Z 96, 2398, [N/A], 56.16, 73 | 111949 830
2026-08-30T02:27:41Z 96, 2385, [N/A], 70.69, 74 | 111962 830
2026-08-30T02:27:46Z 96, 2398, [N/A], 35.69, 69 | 111972 830
2026-08-30T02:27:51Z 96, 2398, [N/A], 33.17, 68 | 111971 830
2026-08-30T02:27:56Z 96, 2398, [N/A], 54.83, 72 | 111983 830
2026-08-30T02:28:02Z 96, 2398, [N/A], 53.78, 72 | 111982 830
2026-08-30T02:28:07Z 96, 2398, [N/A], 54.82, 70 | 111968 830
2026-08-30T02:28:12Z 96, 2398, [N/A], 53.38, 71 | 111980 830
2026-08-30T02:28:17Z 96, 2398, [N/A], 53.55, 72 | 111976 830
2026-08-30T02:28:22Z 96, 2398, [N/A], 37.58, 69 | 111982 830
2026-08-30T02:28:27Z 96, 2398, [N/A], 35.36, 68 | 111963 830
2026-08-30T02:28:32Z 96, 2398, [N/A], 34.58, 67 | 111952 830
2026-08-30T02:28:37Z 96, 2398, [N/A], 53.79, 71 | 111946 830
2026-08-30T02:28:42Z 96, 2398, [N/A], 52.76, 70 | 111972 830
2026-08-30T02:28:47Z 96, 2392, [N/A], 55.73, 70 | 111964 830
2026-08-30T02:28:52Z 96, 2392, [N/A], 46.85, 69 | 111974 830
2026-08-30T02:28:58Z 96, 2398, [N/A], 56.22, 71 | 111998 830
2026-08-30T02:29:03Z 96, 2392, [N/A], 51.39, 70 | 111985 830
2026-08-30T02:29:08Z 96, 2398, [N/A], 51.89, 71 | 111961 830
2026-08-30T02:29:13Z 96, 2398, [N/A], 48.79, 70 | 111973 830
2026-08-30T02:29:18Z 96, 2392, [N/A], 51.85, 70 | 111961 830
2026-08-30T02:29:23Z 96, 2398, [N/A], 35.30, 67 | 111977 830
2026-08-30T02:29:28Z 96, 2398, [N/A], 35.20, 66 | 111950 830
2026-08-30T02:29:33Z 96, 2392, [N/A], 54.47, 70 | 111973 830
2026-08-30T02:29:38Z 96, 2392, [N/A], 54.38, 68 | 111991 830
2026-08-30T02:29:43Z 96, 2392, [N/A], 55.48, 70 | 111980 830
2026-08-30T02:29:48Z 96, 2392, [N/A], 54.11, 69 | 111988 830
2026-08-30T02:29:54Z 96, 2392, [N/A], 58.70, 70 | 111973 830
