model,test_name,t_s_mean,t_s_std,t_s_req_mean,t_s_req_std,peak_ts_mean,peak_ts_std,peak_ts_req_mean,peak_ts_req_std,ttfr_mean,ttfr_std,est_ppt_mean,est_ppt_std,e2e_ttft_mean,e2e_ttft_std
unsloth/Qwen3.8-27B-NVFP4,tg128 @ d4096 (c1),19.468741865632477,0.2576092112374348,19.468741865632477,0.2576092112374348,26.333333333333332,4.0276819911981905,26.333333333333332,4.0276819911981905,,,,,,
unsloth/Qwen3.8-27B-NVFP4,ctx_pp @ d4096 (c2),1831.732263506119,124.49327495097485,955.6967855962722,97.46470700344011,,,,,4412.646972496684,457.3731086144337,4388.734597790366,457.3731086144339,4412.646972496684,457.3731086144337
unsloth/Qwen3.8-27B-NVFP4,ctx_tg @ d4096 (c2),31.435332449200505,2.9052256502274942,16.6793923161912,1.6855710085087874,46.0,5.656854249492381,25.166666666666668,2.4094720491334933,,,,,,
unsloth/Qwen3.8-27B-NVFP4,pp2048 @ d4096 (c2),564.8898723295023,31.301707805317562,288.86259939271736,25.193232173742096,,,,,7163.414076436311,569.6950732130725,7139.501701729993,569.6950732130725,7163.414076436311,569.6950732130725
unsloth/Qwen3.8-27B-NVFP4,tg128 @ d4096 (c2),35.76119106547567,2.2919571110577106,18.92567327531005,1.4180923541990966,47.0,1.632993161855452,25.0,1.1547005383792515,,,,,,
unsloth/Qwen3.8-27B-NVFP4,ctx_pp @ d4096 (c5),1374.4829502815871,16.59516499594662,280.474719328989,20.935491004905376,,,,,14881.279300060123,889.5031425790952,14862.44302221263,889.5031425790952,14881.279300060123,889.5031425790952
unsloth/Qwen3.8-27B-NVFP4,ctx_tg @ d4096 (c5),65.91188522159156,11.989635300573191,15.409289657255139,1.9055037228874718,98.66666666666667,5.792715732327589,24.066666666666666,2.619584360585134,,,,,,
unsloth/Qwen3.8-27B-NVFP4,pp2048 @ d4096 (c5),453.69686895974513,2.0600655592362664,93.28907431504233,6.3949752413456515,,,,,22062.451097245015,1318.0884609316308,22043.61481939753,1318.0884609316308,22062.451097245015,1318.0884609316308
unsloth/Qwen3.8-27B-NVFP4,tg128 @ d4096 (c5),60.3735321581853,12.091919969609048,15.871880416236856,2.148242287943337,98.33333333333333,1.8856180831641267,24.533333333333335,1.9955506062794355,,,,,,
unsloth/Qwen3.8-27B-NVFP4,ctx_pp @ d4096 (c10),1411.2210528244086,27.196177069193325,157.99308566271705,20.72798901233655,,,,,26655.002369452268,2772.9979396714934,26623.71936958903,2772.9979396714934,26655.002369452268,2772.9979396714934
unsloth/Qwen3.8-27B-NVFP4,ctx_tg @ d4096 (c10),64.78291235037169,13.477075390983407,9.543606637964821,1.6276319339721994,138.0,2.160246899469287,18.7,1.4866068747318506,,,,,,
unsloth/Qwen3.8-27B-NVFP4,pp2048 @ d4096 (c10),450.5687087735267,8.025663058103994,51.18111119955563,5.674630130328786,,,,,40512.3423249616,4237.779244886234,40481.05932509838,4237.779244886233,40512.3423249616,4237.779244886234
unsloth/Qwen3.8-27B-NVFP4,tg128 @ d4096 (c10),57.11191509085353,4.577440181024835,9.014498319910462,2.5005983662190836,150.33333333333334,4.189935029992178,19.1,1.2999999999999998,,,,,,
